Sr no,FILM NAME,Starcast,YOR,Language,LOT,GRADING,"FULL
MOVIE",SCENE,SONG,Ultra Bollywood,Ultra Movie Parlour,Bollywood Premium,Film City HD,Ultra Filmy,Bollywood 70s 80s,2000 Ki Filmein,Filmy Deewane,Ultra Classic,Indian cinema,Ultra Action Hits,Hindi Dubbed Movies,Ultra Movie Hub,90's Bollywood,Free TV ,South Ke Khiladi,South Hindi Dubbed,Movies with Subtitle,Hindi Thriller Movies,Playmovies,Hindi Movieplex,The Kapoors,Ladies Special,Filmy Duniya,Haste Raho,Bolly Shorts,Hansi Mazaak,Bollywood Dil se,Comedy Super Kings,Ultra Movie World,Ultra Cinema,Ajay Akshay Sunny,Dharam Paaji,Zabardast Action,Bollywood clips,Mahaguru Mithun,Sunny Deol Hits,Dumdaar Villains,Govinda No 1,90s Ke Hero,The Khans,Amitabh Special,Movie Climax,King Kader Khan,90s Ki Heroine,Bhakti Mein Shakti,Ultra Sports,Gaane Naye Purane,SuperHit Gaane,Dard Bhare Songs,Gaane Ke Jukebox,Romantic Gaane,90s Filmy Gaane,Gaane 70s 80s,Rafi Ke Gaane,Ultra Bollywood Songs,Kishore Kumar Songs,Lataji Ke Gaane,Old Hindi Songs,Facebook
199,SHIKHAR,"Ajay Devgan, Shahid Kapoor, Bipasha Basu",2005,Hindi,zee76,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
200,AGNISAKSHI (01.11.23),"Manisha Koirala, Jackie Shroff and Others",1996,Hindi,zee76,A+,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
201,RIGHT YAAA WRONG,"Sunny Deol, Irfan Khan 
and Others",2010,Hindi,zee76,A,YES,YES,NO,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,YES,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
202,SHAM GHANSHAM,"Chandrachur Singh,
Arbaaz Khan",1998,Hindi,zee76,A,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
203,Sarfarosh,"Jeetendra, Sridevi, Prem Chopra",1985,Hindi,zee180,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
204,Tamacha,"Jeetendra, Rajnikanth, Amrita Singh",1988,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
205,Pyar Mohabbat (HOLD DUETO DISPUTE),"Dev Anand, Premnath, Saira Banu, Shashikala, Durga Khote",1966,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
206,Shaheed,"Manoj Kumar, Prem Chopra, Nirupa Roy",1965,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
207,Pagla Kahin Ka,"Shammi Kapoor,Asha Parekh,Prem Chopra",1970,Hindi,zee180,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
208,Dil Aur Mohabbat,"Joy Mukherjee, Sharmila Tagore, Ashok Kumar",1969,Hindi,zee180,B,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
209,Holi Aayee re,"Shatrughna Sinha, Mala Sinha, Balraj sahani, Rajendranath",1970,Hindi,zee180,B+,YES,YES,NO,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
210,Suhana Safar,"Shashi Kapoor, Sharmila Tagore, Om Praksh, Lalita Pawar, Keshto Mukherjee",1970,Hindi,zee180,B+,YES,YES,NO,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
211,Amne Samne,"Shashi Kapoor, Sharmila Tagore, Prem Chopra, Madan Puri, Kamal Kapoor, Karan Dewan, Shammi, BB Bhalla, Ashwani",1967,Hindi,zee180,B+,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
212,Dil ne phir yaad kiya-old,"Dharmendra, Nutan, Rehman, iS Johar",1966,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,YES,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
213,Kismat,"Biswajeet, Babita, Helen, Ulhas, Murad, Kamal Mehra, Hiralal, Shetty, Indra Kumar",1968,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
214,Mera Saaya,"Sunil Dutt, Prem Chopra, Sadhna",1966,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
215,Apne Huye Paraye,"Manoj Kumar, Mala Sinha",1964,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
216,Johny mera naam,"Dev Anand, Hema Malini & others",1970,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
217,Leader,"Dilip Kumar, Vyajantimala & others",1964,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
218,Haqeeqat,"Balraj Sahani, Dharmendra and Priya Rajvansh",1964,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,YES,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
219,Ganga Ki Laharen,"Dharmendra,Kum Kum,Kishor Kumar,Savitri",1964,Hindi,zee180,B,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,YES,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
220,Himmatwala,"Jeetendra, Sridevi, Amjad Khan and Others",1983,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
221,Hoshiyar,"Jeetendra, Shatrughan Sinha, Jaya Prada, Meenakshi Sheshadra and others",1985,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
222,Kunwarlal,"Jeetendra, Raj Babbar and others",1988,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
223,Meri Awaz Suno,"Jeetendra, Hema Malini, Parveen Babi and others",1981,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
224,Mawali,"Jeetendra, Sridevi, Jaya Prada and others",1983,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
225,Mulzim,"Jeetendra, Shatrughan Sinha, Hema Malini, Amrita Singh and others",1988,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
226,Paathal Bhairavi,"Jeetendra, Jaya Prada and others",1985,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
227,Qaidi,"Jeetendra, Shatrughan Sinha, Madhavi, Hema Malini and others",1984,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
228,Singhasan,"Jeetendra, Jaya Prada, Mandakini and others",1986,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
229,Takkar,"Sanjeev Kumar, Jeetendra, Zeenat Aman, Jaya Prada and others",1980,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
230,Humjoli,"Jeetendra, Leena Chandrawarkar, Pran",1970,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
231,Parichay,"Jeetendra, Jaya Bhaduri, Pran",1972,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
232,Khushboo,"Jeetendra, Hema Malini, Asrani",1975,Hindi,zee180,C,YES,YES,NO,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
233,Jyoti bane jwala,"Jeetendra, Vinod Mehra, Sarika",1980,Hindi,zee180,B+,YES,YES,NO,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
234,Pyasa Sawan,"Jeetendra, Vinod Mehra, Reena Roy",1981,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
235,Deedar-E-Yaar,"Jeetendra, Rishi Kapoor, Rekha",1982,Hindi,zee180,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
236,Khoon Ki Pukar,"Vinod Khanna,Shabana Azmi and Others",1978,Hindi,zee180,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
237,Shaandar,"Mithun Chakraborty, Meenakshi S, Mandakini, Juhi Chawla, Danny",1974,Hindi,zee180,B+,YES,YES,NO,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
238,Anamika,"Sanjeev Kumar,Jaya Bahaduri and Others",1973,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
239,Caravan,"Jeetendra,Asha Parekh and Others",1971,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
240,Dulha Bikta Hai,"Raj Babbar,Anita Raj and Others",1981,Hindi,zee180,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
241,Hamara Khandaan,"Rishi Kapoor,Asha Parekh and Others",1988,Hindi,zee180,B,YES,YES,NO,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
242,Locket,"Jeetendra,Rekha and Others",1986,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
243,UPKAAR,"Manoj Kumar, Prem Chopra, Asha Parekh, Pran'",1967,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
244,PURAB AUR PASCHIM,"Manoj Kumar, Hema Malini,ashok kumar Saira banu",1970,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
245,SHOR,"Manoj Kumar, Jaya Badhuri & Nanda",1972,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
246,ROTI KAPDA AUR MAKAAN,"Manoj Kumar,",1974,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
247,KRANTI,"Manoj Kumar, Dilip Kumar, Hema Malini, Shatrughan Sinha, Shashi Kapoor",1981,Hindi,zee180,A+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
248,PAINTER BABU,"Manoj Kumar,Rajiv Goswami, Meenakshi Sheshadri, Neelima, Rakesh Bedi, Mahendra Kapoor,",1983,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
249,CLERK,"Manoj Kumar, Ashok Kumar, Rekha, Rajendra Kumar",1989,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
250,Kalyug Aur Ramayan,"Manoj Kumar,Madhavi,Prem chopra",1987,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,YES,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
251,Geeta Mera Naam,"Sunil Dutt, Feroz Khan, Sadhana, Helen, Agha, Rajendranath",1974,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
252,Mausam,"Sanjeev Kumar, Om Prakash, Sharmila Tagore",1975,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
253,Kaala Sona,"Firoz Khan, Parveen Babi",1975,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
254,Bin Phere Hum Tere,"Rajendra Kumar,Asha Parikh,Vinod Mehra",1979,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
255,Maang Bharo Sajana,"Jeetendra, Asrani, Moushmi Chaterjee, Rekha, Kajal Kiram Mohan Choti, Om Shivpuri",1980,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
256,Dhan Daulat,"Rishi Kapoor, Neetu Singh",1980,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
257,Abhinetri,"Hema Malini, Shashi Kapoor, Nirupa Roy, Nazima, Nasir Hussain, Asit Sen",1980,Hindi,zee180,B,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
258,Ek Hi Bhool,"Jeetendra, Asrani, Shabana Azmi, Rekha, Mazhar Khan, Nazneen",1981,Hindi,zee180,A,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,,,,,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
259,Khoon ka rishta,"Jeetendra, Neetu Singh, Amjad Khan",1981,Hindi,zee180,B,YES,YES,NO,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
260,Sasuraal,"Arun Govil, Shammi, Sadhana Singh, Gulshan Grover",1984,Hindi,zee180,B+,YES,YES,NO,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
261,Ram tere Kitne Naam,"Sanjeev Kumar, Rekha, Prem Chopra",1985,Hindi,zee180,B+,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,YES,YES,,YES,,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,,,,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
262,Police officer,"Jackie Shroff, Karishma Kapoor, Ajit, Paresh Rawal",1992,Hindi,zee180,A,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
263,Kundan,"Dharmendra, Jaya Prada, Farah, Amrish Puri, Raza Murad, Mukesh Khanna",1993,Hindi,zee180,B+,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,,,,YES,,,,,,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,,YES,,,,,,,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
264,Sadhna,"Rishi Kapoor, Raj Babbar, Meenakshi Sheshadri, Sujata Mehta",1994,Hindi,zee180,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,YES,,YES,YES,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,YES,,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
265,Prem Shakti,"Govinda,Karishma Kapoor",1994,Hindi,zee180,A,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,YES,,,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,,,YES,YES,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
266,Gunehgar,"Mithun,Pooja Bhatt, Atul Agnihotri",1995,Hindi,zee180,B,YES,YES,NO,YES,YES,YES,YES,YES,,,YES,,YES,YES,,YES,YES,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,YES,,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
267,Andha Yudh,"Raj Babbar, Pallavi Joshi, Divya Rana, Sudhir Pandey, Asha Sharma",1996,Hindi,zee180,B,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,,YES,YES,,YES,YES,YES,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,YES,,YES,,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
